"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Acinetobacter",-0.237004802686269,0.0109510444826193,-21.6422098423968,7.19700957553001e-104,4.89396651136041e-102,TRUE,"Acinetobacter","Acinetobacter","Acinetobacter",1,"Acinetobacter
(Acinetobacter)"
"Actinomyces",-0.125039647343488,0.00589231621893994,-21.2207971699766,6.13746349778128e-100,2.08673758924563e-98,TRUE,"Actinomyces","Actinomyces","Actinomyces",1,"Actinomyces
(Actinomyces)"
"Corynebacterium",-0.19793751168992,0.00942873080484334,-20.9930175955647,7.59665210407368e-98,1.7219078102567e-96,TRUE,"Corynebacterium","Corynebacterium","Corynebacterium",1,"Corynebacterium
(Corynebacterium)"
"Methylobacterium",-0.0917754035440991,0.00461412467814996,-19.8901004948346,4.9575611325943e-88,8.42785392541031e-87,TRUE,"Methylobacterium","Methylobacterium","Methylobacterium",1,""
"Veillonella",-0.0968241323904902,0.00510102588533659,-18.9813058327779,2.43468989493421e-80,3.31117825711053e-79,TRUE,"Veillonella","Veillonella","Veillonella",1,""
"Streptococcus",-0.215507210944118,0.0115305558968081,-18.6900972401317,5.96042716901203e-78,6.75515079154697e-77,TRUE,"Streptococcus","Streptococcus","Streptococcus",1,""
"Staphylococcus",-0.228357300458186,0.0126482845350039,-18.0544088667686,7.28375185096617e-73,7.07564465522428e-72,TRUE,"Staphylococcus","Staphylococcus","Staphylococcus",1,""
"Lactobacillus",-0.155717620685114,0.00894004061082721,-17.4179992534403,6.02472881991688e-68,5.12101949692935e-67,TRUE,"Lactobacillus","Lactobacillus","Lactobacillus",1,""
"Shewanella",-0.0568061113715559,0.00382095546035953,-14.8669912436537,5.39855495436411e-50,4.07890818774178e-49,TRUE,"Shewanella","Shewanella","Shewanella",1,""
"Gordonia",-0.0500145351238071,0.00339578608245496,-14.7284115987805,4.23544243949606e-49,2.88010085885732e-48,TRUE,"Gordonia","Gordonia","Gordonia",1,""
"Nocardioides",-0.0461548714077428,0.00335464889369726,-13.7584805058016,4.52946853578278e-43,2.80003509484753e-42,TRUE,"Nocardioides","Nocardioides","Nocardioides",1,""
"Paracoccus",-0.0507193966839995,0.00377171693489327,-13.4472966978989,3.19334675721605e-41,1.80956316242243e-40,TRUE,"Paracoccus","Paracoccus","Paracoccus",1,""
"Mogibacterium",0.0521616606597836,0.00393730469159902,13.2480630140411,4.62999377248937e-40,2.42184289637905e-39,TRUE,"Mogibacterium","Mogibacterium","Mogibacterium",1,""
"Solobacterium",0.0500425932391255,0.00387201481462872,12.9241740114375,3.28808720864447e-38,1.59707092991303e-37,TRUE,"Solobacterium","Solobacterium","Solobacterium",1,""
"Catonella",0.0489022475911674,0.00381401601699621,12.8217205625899,1.23919791958293e-37,5.61769723544263e-37,TRUE,"Catonella","Catonella","Catonella",1,""
"Eikenella",0.047409216435746,0.00377077849353335,12.5727927315407,2.98007730556826e-36,1.26653285486651e-35,TRUE,"Eikenella","Eikenella","Eikenella",1,""
"Roseburia",0.0465627904740412,0.00377237274282351,12.3431043665081,5.30694999181144e-35,2.12277999672458e-34,TRUE,"Roseburia","Roseburia","Roseburia",1,""
"Tannerella",0.0465993627864103,0.00379865389405204,12.2673357684352,1.35643528777276e-34,5.12431108714153e-34,TRUE,"Tannerella","Tannerella","Tannerella",1,""
"Mobiluncus",0.0467238641049389,0.00385181495836714,12.1303501362241,7.29369136830707e-34,2.48924782438439e-33,TRUE,"Mobiluncus","Mobiluncus","Mobiluncus",1,""
"Myroides",0.048990617496754,0.00403878431201451,12.1300405547821,7.32131713054232e-34,2.48924782438439e-33,TRUE,"Myroides","Myroides","Myroides",1,""
"Peptostreptococcus",0.0460862652460162,0.00382273420486658,12.0558382498437,1.80684813848899e-33,5.85074635320245e-33,TRUE,"Peptostreptococcus","Peptostreptococcus","Peptostreptococcus",1,""
"Brevundimonas",-0.03092117329253,0.00256633534606431,-12.0487657000673,1.96875916660588e-33,6.08525560587272e-33,TRUE,"Brevundimonas","Brevundimonas","Brevundimonas",1,""
"Propionimicrobium",0.0448312648892035,0.00373490501130155,12.0033213036335,3.41319248936514e-33,1.00911777946448e-32,TRUE,"Propionimicrobium","Propionimicrobium","Propionimicrobium",1,""
"Escherichia",-0.275786692433829,0.0229964847936119,-11.9925586414163,3.8870978834495e-33,1.10134440031069e-32,TRUE,"Escherichia","Escherichia","Escherichia",1,""
"Lysinibacillus",0.0451677682424906,0.0037717597577052,11.975250584351,4.78988195618791e-33,1.30284789208311e-32,TRUE,"Lysinibacillus","Lysinibacillus","Lysinibacillus",1,""
"Morganella",0.0443798091047019,0.00375527864241189,11.8179803233451,3.15170596093062e-32,8.24292328243393e-32,TRUE,"Morganella","Morganella","Morganella",1,""
"Oribacterium",0.0424586914795943,0.003601322438856,11.7897500711105,4.40847324123442e-32,1.11028214964422e-31,TRUE,"Oribacterium","Oribacterium","Oribacterium",1,""
"Haemophilus",-0.0644437072230075,0.00563361742587602,-11.4391344586177,2.66531219491e-30,6.47290104478143e-30,TRUE,"Haemophilus","Haemophilus","Haemophilus",1,""
"Dialister",0.0424572052202047,0.00371545535241217,11.427187570062,3.05855145232767e-30,7.17177581925108e-30,TRUE,"Dialister","Dialister","Dialister",1,""
"Parvimonas",0.0392917944770891,0.00355342814086208,11.057433250235,2.01789590093031e-28,4.57389737544204e-28,TRUE,"Parvimonas","Parvimonas","Parvimonas",1,""
"Agromyces",0.0395194580993921,0.00358107014544786,11.0356559615644,2.57168024353526e-28,5.6411050503354e-28,TRUE,"Agromyces","Agromyces","Agromyces",1,""
"Eubacterium",0.0383045440875693,0.00351830489100814,10.8872156547506,1.3263342673041e-27,2.81846031802122e-27,TRUE,"Eubacterium","Eubacterium","Eubacterium",1,""
"Lachnoanaerobaculum",0.0376271025264657,0.00345985498539242,10.8753409276771,1.51089887545842e-27,3.07265228890718e-27,TRUE,"Lachnoanaerobaculum","Lachnoanaerobaculum","Lachnoanaerobaculum",1,""
"Alcanivorax",0.0379959558765966,0.00349426050356064,10.873818891831,1.53632614445359e-27,3.07265228890718e-27,TRUE,"Alcanivorax","Alcanivorax","Alcanivorax",1,""
"Campylobacter",-0.0460760738388455,0.00460936467918754,-9.99618755419609,1.58377367838412e-23,3.07704600371771e-23,TRUE,"Campylobacter","Campylobacter","Campylobacter",1,""
"Arcobacter",0.0358733216873813,0.00364206472378306,9.84972108077181,6.87344548559649e-23,1.29831748061267e-22,TRUE,"Arcobacter","Arcobacter","Arcobacter",1,""
"Clostridium",-0.070581296429477,0.00728035815012543,-9.69475607848509,3.17395172265189e-22,5.83320857136023e-22,TRUE,"Clostridium","Clostridium","Clostridium",1,""
"Peptoniphilus",-0.0310065690064637,0.0032086926601187,-9.66330287467193,4.31715917296866e-22,7.72544273057549e-22,TRUE,"Peptoniphilus","Peptoniphilus","Peptoniphilus",1,""
"Flavobacterium",-0.0869592134343181,0.00910921165859705,-9.54629409145939,1.34418771252471e-21,2.34371190901745e-21,TRUE,"Flavobacterium","Flavobacterium","Flavobacterium",1,""
"Halomonas",0.0316940022506546,0.00336706292129446,9.41295217568131,4.82393718522866e-21,8.20069321488873e-21,TRUE,"Halomonas","Halomonas","Halomonas",1,""
"Anaerococcus",-0.0358419837283762,0.00386026042623381,-9.28486158208366,1.61917496684891e-20,2.68546092062746e-20,TRUE,"Anaerococcus","Anaerococcus","Anaerococcus",1,""
"Ruminococcus",0.0305087371346565,0.00338325607460789,9.01756664641248,1.92313392959508e-19,3.11364540982061e-19,TRUE,"Ruminococcus","Ruminococcus","Ruminococcus",1,""
"Parabacteroides",0.0447354996183667,0.00498099944744253,8.98122958863928,2.67757471214314e-19,4.23430419594729e-19,TRUE,"Parabacteroides","Parabacteroides","Parabacteroides",1,""
"Rhizobium",-0.0314580089508001,0.00352744579662468,-8.91807011773263,4.74483982066416e-19,7.33293426829916e-19,TRUE,"Rhizobium","Rhizobium","Rhizobium",1,""
"Pseudoalteromonas",0.0287448839086371,0.00326516403682044,8.80350377025111,1.32609717338583e-18,2.00388017311636e-18,TRUE,"Pseudoalteromonas","Pseudoalteromonas","Pseudoalteromonas",1,""
