"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Actinomyces",-0.11378912023184,0.00594144181548339,-19.1517688409075,9.35544296825474e-82,6.36170121841322e-80,TRUE,"Actinomyces","Actinomyces","Actinomyces",1,"Actinomyces
(Actinomyces)"
"Corynebacterium",-0.18568176427158,0.00977018458812234,-19.0049392206279,1.5522570855736e-80,5.27767409095022e-79,TRUE,"Corynebacterium","Corynebacterium","Corynebacterium",1,"Corynebacterium
(Corynebacterium)"
"Methylobacterium",-0.0821929686795266,0.00481092373095401,-17.0846542735001,1.93084180716065e-65,4.37657476289748e-64,TRUE,"Methylobacterium","Methylobacterium","Methylobacterium",1,"Methylobacterium
(Methylobacterium)"
"Veillonella",-0.0869885204058538,0.00523620909592384,-16.6128813445534,5.62264194976501e-62,9.55849131460052e-61,TRUE,"Veillonella","Veillonella","Veillonella",1,""
"Streptococcus",-0.21418104768938,0.0134611193027437,-15.9110875457232,5.30833138960617e-57,7.21933068986439e-56,TRUE,"Streptococcus","Streptococcus","Streptococcus",1,""
"Acinetobacter",-0.21252441176752,0.0147300564054543,-14.4279428345452,3.45225106249514e-47,3.91255120416116e-46,TRUE,"Acinetobacter","Acinetobacter","Acinetobacter",1,""
"Mogibacterium",0.0545261259137024,0.00423247358783883,12.8828035856792,5.62543099443239e-38,5.46470439459147e-37,TRUE,"Mogibacterium","Mogibacterium","Mogibacterium",1,""
"Campylobacter",-0.0473043480455495,0.003692504408317,-12.8109117321569,1.42450888848415e-37,1.21083255521153e-36,TRUE,"Campylobacter","Campylobacter","Campylobacter",1,""
"Solobacterium",0.0525133227435335,0.00417756452112791,12.5703199742215,3.07476947323296e-36,2.32315915755379e-35,TRUE,"Solobacterium","Solobacterium","Solobacterium",1,""
"Catonella",0.05143016167328,0.00412903409391406,12.4557367421802,1.30144065194823e-35,8.84979643324796e-35,TRUE,"Catonella","Catonella","Catonella",1,""
"Eikenella",0.0500120011119421,0.00409290219336433,12.2192025973708,2.45480697742562e-34,1.51751704059038e-33,TRUE,"Eikenella","Eikenella","Eikenella",1,""
"Myroides",0.0500942604142389,0.00414278610658832,12.0919253674655,1.16523546267327e-33,6.60300095514855e-33,TRUE,"Myroides","Myroides","Myroides",1,""
