"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Dietzia",-0.623551852846035,0.141264065142816,-4.4140868536923,1.01437231586158e-05,0.000488152423086837,TRUE,"Dietzia","Dietzia","Dietzia",1,"Dietzia
(Dietzia)"
"Gordonia",-0.890522689715834,0.194020677702876,-4.58983393037924,4.43598799406626e-06,0.000488152423086837,TRUE,"Gordonia","Gordonia","Gordonia",1,"Gordonia
(Gordonia)"
"Lautropia",-0.280059292091478,0.062685311382896,-4.46770201683793,7.90643344764185e-06,0.000488152423086837,TRUE,"Lautropia","Lautropia","Lautropia",1,"Lautropia
(Lautropia)"
"Serratia",-0.668336647710934,0.15178670300068,-4.40313040930823,1.0669998318838e-05,0.000488152423086837,TRUE,"Serratia","Serratia","Serratia",1,""
"Hydrogenophaga",-0.504323895641055,0.125259192287328,-4.0262425969042,5.66752171378505e-05,0.00207431294724533,TRUE,"Hydrogenophaga","Hydrogenophaga","Hydrogenophaga",1,""
"Arthrobacter",-0.508984706896527,0.135823681129043,-3.74739296318255,0.000178682044261107,0.00544980234996378,TRUE,"Arthrobacter","Arthrobacter","Arthrobacter",1,""
"Leuconostoc",-0.27970249253726,0.0791749493062157,-3.53271451372186,0.000411316379813238,0.0107529853579747,TRUE,"Leuconostoc","Leuconostoc","Leuconostoc",1,""
"Agromyces",-0.258891762568035,0.0747071263154681,-3.46542258197437,0.000529398921412214,0.0121100003273044,TRUE,"Agromyces","Agromyces","Agromyces",1,""
"Tepidimonas",-0.317467357612885,0.0934177173363565,-3.39836346535661,0.000677902909732274,0.0137840258312229,TRUE,"Tepidimonas","Tepidimonas","Tepidimonas",1,""
"Streptomyces",-0.548844035144999,0.16782617113768,-3.27031255866965,0.00107428711851335,0.0196594542687943,TRUE,"Streptomyces","Streptomyces","Streptomyces",1,""
"Peptoniphilus",0.393860005912808,0.130361740799881,3.02128525974061,0.00251704106908185,0.0418744105129071,TRUE,"Peptoniphilus","Peptoniphilus","Peptoniphilus",1,""
"Janthinobacterium",-0.435597577318656,0.149592995820726,-2.91188484413187,0.00359255053136663,0.0547863956033412,FALSE,"Janthinobacterium","Janthinobacterium","Janthinobacterium",0,""
"Brevundimonas",0.641002479112899,0.222840295768981,2.87651062794059,0.00402098654430859,0.0566031182775748,FALSE,"Brevundimonas","Brevundimonas","Brevundimonas",0,""
"Deinococcus",-0.327645190018069,0.115910092986762,-2.82671837779899,0.00470276663715035,0.0614718781856082,FALSE,"Deinococcus","Deinococcus","Deinococcus",0,""
"Shewanella",-0.352397179501459,0.126002028752363,-2.79675798073093,0.00516181832110828,0.062974183517521,FALSE,"Shewanella","Shewanella","Shewanella",0,""
"Corynebacterium",-0.453073733861743,0.17004060879363,-2.66450312708311,0.00771021495357935,0.0881855835315638,FALSE,"Corynebacterium","Corynebacterium","Corynebacterium",0,""
"Massilia",-0.430576460260818,0.179773415674367,-2.39510641017548,0.0166155423996896,0.178861427008423,FALSE,"Massilia","Massilia","Massilia",0,""
