"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Rhodococcus",-0.708910259311365,0.142840637946298,-4.96294520595662,6.94321750282585e-07,0.000127060880301713,TRUE,"Rhodococcus","Rhodococcus","Rhodococcus",1,"Rhodococcus
(Rhodococcus)"
"Gordonia",-0.666869705613254,0.139526799805477,-4.77950978982517,1.75723116241245e-06,0.000160786651360739,TRUE,"Gordonia","Gordonia","Gordonia",1,"Gordonia
(Gordonia)"
"Diaphorobacter",0.990557418428596,0.212544699016524,4.66046635372256,3.15493733181831e-06,0.000192451177240917,TRUE,"Diaphorobacter","Diaphorobacter","Diaphorobacter",1,"Diaphorobacter
(Diaphorobacter)"
"Bifidobacterium",-0.496095734233906,0.117643470619848,-4.21694235659695,2.47637244572597e-05,0.00113294039391963,TRUE,"Bifidobacterium","Bifidobacterium","Bifidobacterium",1,""
"Deinococcus",-0.504117681727296,0.128026240317173,-3.93761216824293,8.22964653602387e-05,0.00301205063218473,TRUE,"Deinococcus","Deinococcus","Deinococcus",1,""
"Brevundimonas",-0.635231286212966,0.167940137049993,-3.78248641076117,0.000155269572519853,0.00473572196185553,TRUE,"Brevundimonas","Brevundimonas","Brevundimonas",1,""
"Methylobacterium",-0.498539758267277,0.135451225065967,-3.68058508163716,0.000232699396345303,0.00532299869139881,TRUE,"Methylobacterium","Methylobacterium","Methylobacterium",1,""
"Halomonas",-0.375038719888719,0.101014064319246,-3.71273765110016,0.00020502938707458,0.00532299869139881,TRUE,"Halomonas","Halomonas","Halomonas",1,""
"Sphingobium",-0.550311058334513,0.156073414767562,-3.52597563879848,0.000421925778274846,0.00772124174242968,TRUE,"Sphingobium","Sphingobium","Sphingobium",1,""
"Acidovorax",0.619704742599564,0.175598188881492,3.52910668695901,0.000416964997726744,0.00772124174242968,TRUE,"Acidovorax","Acidovorax","Acidovorax",1,""
"Clostridium",-0.419481749646999,0.124643889367468,-3.36544175390986,0.000764212000669457,0.0120184044086756,TRUE,"Clostridium","Clostridium","Clostridium",1,""
