"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Bacillus",1.07712659336433,0.117413575065454,9.17378244179916,4.56706233710109e-20,8.403394700266e-18,TRUE,"Bacillus","Bacillus","Bacillus",1,"Bacillus
(Bacillus)"
"Enterobacter",0.874870857929666,0.104110601836159,8.40328307107925,4.34166442046933e-17,3.99433126683179e-15,TRUE,"Enterobacter","Enterobacter","Enterobacter",1,"Enterobacter
(Enterobacter)"
"Rickettsia",0.930594614311127,0.147310700886825,6.31722345158128,2.66304399433523e-10,1.63333364985894e-08,TRUE,"Rickettsia","Rickettsia","Rickettsia",1,"Rickettsia
(Rickettsia)"
"Mycobacterium",0.488649803408733,0.0829942640036335,5.8877539222149,3.91479421435446e-09,1.80080533860305e-07,TRUE,"Mycobacterium","Mycobacterium","Mycobacterium",1,""
"Prevotella",0.788920330053607,0.136370809661803,5.78511143264539,7.24642777358479e-09,2.6666854206792e-07,TRUE,"Prevotella","Prevotella","Prevotella",1,""
"Escherichia",0.620510973202382,0.109032326260628,5.69107341357764,1.26243211278293e-08,3.87145847920098e-07,TRUE,"Escherichia","Escherichia","Escherichia",1,""
"Paenibacillus",0.730195626161107,0.129949182195362,5.61908596749265,1.9197032557337e-08,5.01991954000303e-07,TRUE,"Paenibacillus","Paenibacillus","Paenibacillus",1,""
"Klebsiella",0.558506084760309,0.099789020408083,5.59686909918869,2.1825737130448e-08,5.01991954000303e-07,TRUE,"Klebsiella","Klebsiella","Klebsiella",1,""
"Exiguobacterium",0.736884950487621,0.137228558456608,5.3697638361524,7.88398174119353e-08,1.61183626708845e-06,TRUE,"Exiguobacterium","Exiguobacterium","Exiguobacterium",1,""
"Neisseria",0.638868164147823,0.121300530026418,5.26682087876025,1.38806522476783e-07,2.55404001357281e-06,TRUE,"Neisseria","Neisseria","Neisseria",1,""
"Agrobacterium",-0.502016459921722,0.096790483667213,-5.18663034733626,2.14133165268662e-07,3.58186385540307e-06,TRUE,"Agrobacterium","Agrobacterium","Agrobacterium",1,""
"Pseudomonas",0.544835993060372,0.108060493532306,5.0419535877604,4.60803066630992e-07,7.06564702167521e-06,TRUE,"Pseudomonas","Pseudomonas","Pseudomonas",1,""
"Chryseobacterium",0.532580286062968,0.108055991766176,4.92874367592152,8.27600677878981e-07,1.17137326715179e-05,TRUE,"Chryseobacterium","Chryseobacterium","Chryseobacterium",1,""
"Campylobacter",1.02302369462094,0.222128427692666,4.60555051529192,4.11376104900601e-06,5.40665737869362e-05,TRUE,"Campylobacter","Campylobacter","Campylobacter",1,""
"Flavobacterium",0.631681382186071,0.138012876517873,4.57697425141535,4.71749498629955e-06,5.78679384986078e-05,TRUE,"Flavobacterium","Flavobacterium","Flavobacterium",1,""
"Acinetobacter",0.502770587933209,0.11263259143913,4.46381088732139,8.05146340025489e-06,9.25918291029313e-05,TRUE,"Acinetobacter","Acinetobacter","Acinetobacter",1,""
