"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Rhodococcus",-0.122424431806158,0.0051120502954242,-23.9482056574717,9.64663218263757e-127,8.77843528620019e-125,TRUE,"Rhodococcus","Rhodococcus","Rhodococcus",1,"Rhodococcus
(Rhodococcus)"
"Agrobacterium",-0.108659564545535,0.00453399461135663,-23.9655257360402,6.36588707571776e-127,8.77843528620019e-125,TRUE,"Agrobacterium","Agrobacterium","Agrobacterium",1,"Agrobacterium
(Agrobacterium)"
"Acidovorax",-0.140696152383773,0.00591944221977867,-23.7684814142901,7.07712800577649e-125,4.29345765683773e-123,TRUE,"Acidovorax","Acidovorax","Acidovorax",1,"Acidovorax
(Acidovorax)"
"Stenotrophomonas",-0.105583840354059,0.00462804498554508,-22.8139183356757,3.3360132131294e-115,1.51788601197387e-113,TRUE,"Stenotrophomonas","Stenotrophomonas","Stenotrophomonas",1,""
"Methylobacterium",-0.11454857093394,0.0050915704862432,-22.497689316771,4.3725576356095e-112,1.59161097936186e-110,TRUE,"Methylobacterium","Methylobacterium","Methylobacterium",1,""
"Actinomyces",-0.146373926164899,0.00651038841262587,-22.4831326316921,6.07012164029833e-112,1.84127023089049e-110,TRUE,"Actinomyces","Actinomyces","Actinomyces",1,""
"Rothia",-0.120461058559641,0.00551656534513282,-21.8362424848139,1.05047564630222e-105,2.73123668038577e-104,TRUE,"Rothia","Rothia","Rothia",1,""
"Propionibacterium",-0.320133513506375,0.0148678809609342,-21.5318857036544,7.8282730922759e-103,1.78093212849277e-101,TRUE,"Propionibacterium","Propionibacterium","Propionibacterium",1,""
"Massilia",-0.10610459269177,0.00496156395259283,-21.3853119108385,1.83059523582581e-101,3.70187036578109e-100,TRUE,"Massilia","Massilia","Massilia",1,""
"Achromobacter",-0.0781859389448395,0.00370976353516929,-21.0757203804559,1.32868870716419e-98,2.41821344703882e-97,TRUE,"Achromobacter","Achromobacter","Achromobacter",1,""
"Veillonella",-0.119378910381012,0.00570776821227696,-20.9151643761983,3.89683496098645e-97,6.44749057181394e-96,TRUE,"Veillonella","Veillonella","Veillonella",1,""
"Corynebacterium",-0.21654589561334,0.0105849447778417,-20.4579145341082,5.10767186956035e-93,7.74663566883319e-92,TRUE,"Corynebacterium","Corynebacterium","Corynebacterium",1,""
"Brachybacterium",-0.101563279453744,0.00498632408837247,-20.3683670884086,3.19143027381682e-92,4.46800238334354e-91,TRUE,"Brachybacterium","Brachybacterium","Brachybacterium",1,""
"Brevundimonas",-0.0563266703627851,0.00281317578163859,-20.0224496209677,3.51031001371978e-89,4.56340301783572e-88,TRUE,"Brevundimonas","Brevundimonas","Brevundimonas",1,""
"Shewanella",-0.0810919214373178,0.0040721554837731,-19.9137586372761,3.092217341762e-88,3.75189037467123e-87,TRUE,"Shewanella","Shewanella","Shewanella",1,""
"Paracoccus",-0.0766986350460093,0.00386574978423906,-19.8405585790149,1.32973105985738e-87,1.51256908058777e-86,TRUE,"Paracoccus","Paracoccus","Paracoccus",1,""
"Gordonia",-0.0745941237430048,0.00379344594435247,-19.6639479874644,4.39182493151803e-86,4.70183610315459e-85,TRUE,"Gordonia","Gordonia","Gordonia",1,""
"Sphingobium",-0.0618413947595316,0.00317063177013784,-19.5044392546547,1.00654879889754e-84,1.01773267444085e-83,TRUE,"Sphingobium","Sphingobium","Sphingobium",1,""
"Arthrobacter",-0.0634889638478605,0.00325700661401868,-19.4930411177533,1.25779260151098e-84,1.20483291302631e-83,TRUE,"Arthrobacter","Arthrobacter","Arthrobacter",1,""
"Bacteroides",-0.0665016504128137,0.00341389567667719,-19.4796961334041,1.6324547144776e-84,1.48553379017462e-83,TRUE,"Bacteroides","Bacteroides","Bacteroides",1,""
"Nocardioides",-0.0709014148518429,0.00368428023241236,-19.2443056388843,1.57560464081245e-82,1.36552402203746e-81,TRUE,"Nocardioides","Nocardioides","Nocardioides",1,""
"Kocuria",-0.0807942597115507,0.00445035529543238,-18.1545639276203,1.18162585988794e-73,9.77526847725479e-73,TRUE,"Kocuria","Kocuria","Kocuria",1,""
"Novosphingobium",-0.0511051508018819,0.00286849595819783,-17.8160093465808,5.30915248949965e-71,4.20115544821277e-70,TRUE,"Novosphingobium","Novosphingobium","Novosphingobium",1,""
"Dietzia",-0.0517451565676239,0.00308269313541323,-16.7856981848722,3.10555465622362e-63,2.35504561430291e-62,TRUE,"Dietzia","Dietzia","Dietzia",1,""
"Leuconostoc",-0.0543386337523382,0.00334673313103115,-16.2363211002713,2.79172274110106e-59,2.03237415552157e-58,TRUE,"Leuconostoc","Leuconostoc","Leuconostoc",1,""
"Peptoniphilus",-0.0564083721729186,0.00349416250324299,-16.1436029722616,1.25968384497459e-58,8.8177869148221e-58,TRUE,"Peptoniphilus","Peptoniphilus","Peptoniphilus",1,""
"Fusobacterium",-0.0589179731104893,0.00373190350362176,-15.787646452624,3.78438451277756e-56,2.5509554863908e-55,TRUE,"Fusobacterium","Fusobacterium","Fusobacterium",1,""
"Micrococcus",-0.0427544318200047,0.00278564304412509,-15.3481372676853,3.64503036302781e-53,2.36926973596808e-52,TRUE,"Micrococcus","Micrococcus","Micrococcus",1,""
"Streptococcus",-0.230229359522685,0.0152764762054418,-15.0708420205356,2.51882262877546e-51,1.58077833943839e-50,TRUE,"Streptococcus","Streptococcus","Streptococcus",1,""
"Anaerococcus",-0.0610346246782197,0.00412796229908793,-14.7856545811247,1.81286235668795e-49,1.09980316305735e-48,TRUE,"Anaerococcus","Anaerococcus","Anaerococcus",1,""
"Leptotrichia",-0.0466874468665699,0.0031736146134369,-14.7111267602871,5.46891526668984e-49,3.21078251141146e-48,TRUE,"Leptotrichia","Leptotrichia","Leptotrichia",1,""
"Comamonas",-0.0475864955859377,0.00324100801822107,-14.6826219862477,8.33058207478939e-49,4.73801855503647e-48,TRUE,"Comamonas","Comamonas","Comamonas",1,""
"Paenibacillus",-0.0631791471212546,0.00433273840268103,-14.5818051424846,3.66690874790785e-48,2.02235573369463e-47,TRUE,"Paenibacillus","Paenibacillus","Paenibacillus",1,""
"Acinetobacter",-0.228703238395291,0.0157874602589464,-14.4863856911811,1.47713414306275e-47,7.90701217757119e-47,TRUE,"Acinetobacter","Acinetobacter","Acinetobacter",1,""
"Janthinobacterium",-0.0411318002768635,0.00288806519946604,-14.2419915881637,5.02736091236072e-46,2.61422767442758e-45,TRUE,"Janthinobacterium","Janthinobacterium","Janthinobacterium",1,""
"Gemella",-0.0444406113002407,0.00328528535386912,-13.5271693364178,1.08106849834365e-41,5.46540185273733e-41,TRUE,"Gemella","Gemella","Gemella",1,""
"Bifidobacterium",-0.0394334468677814,0.00291817007589112,-13.5130735502932,1.3093857235524e-41,6.44076220774426e-41,TRUE,"Bifidobacterium","Bifidobacterium","Bifidobacterium",1,""
"Capnocytophaga",-0.0411288460769178,0.00310821858755037,-13.2322888234614,5.71210010062724e-40,2.73579531135305e-39,TRUE,"Capnocytophaga","Capnocytophaga","Capnocytophaga",1,""
"Deinococcus",-0.0408339835103298,0.00311892788594,-13.0923140911362,3.64336069478472e-39,1.70023499089954e-38,TRUE,"Deinococcus","Deinococcus","Deinococcus",1,""
"Brevibacterium",-0.0377048068559078,0.00289200301965857,-13.0376097810435,7.47643203126492e-39,3.40177657422554e-38,TRUE,"Brevibacterium","Brevibacterium","Brevibacterium",1,""
"Porphyromonas",-0.0344973340762535,0.00269169474923005,-12.8162133117514,1.33040863385843e-37,5.90571637468865e-37,TRUE,"Porphyromonas","Porphyromonas","Porphyromonas",1,""
"Moraxella",-0.0346841562894185,0.00271955918573289,-12.7535949470692,2.97693902081517e-37,1.29000690901991e-36,TRUE,"Moraxella","Moraxella","Moraxella",1,""
"Pantoea",-0.0675569810635672,0.00534759782545672,-12.6331454362497,1.38624087456179e-36,5.86734509698246e-36,TRUE,"Pantoea","Pantoea","Pantoea",1,""
"Klebsiella",-0.125969376820238,0.0105872301234395,-11.898237343623,1.20873248041738e-32,4.99975707809006e-32,TRUE,"Klebsiella","Klebsiella","Klebsiella",1,""
"Hymenobacter",-0.0386450881875564,0.003321173941701,-11.6359723597505,2.70489930546936e-31,1.09398149687872e-30,TRUE,"Hymenobacter","Hymenobacter","Hymenobacter",1,""
"Finegoldia",-0.0365185016243115,0.00314607565729255,-11.6076361799063,3.76890903461653e-31,1.49117705282654e-30,TRUE,"Finegoldia","Finegoldia","Finegoldia",1,""
"Chryseobacterium",-0.0743503961906639,0.0065269446442593,-11.3913017871322,4.62034722582656e-30,1.78915573425624e-29,TRUE,"Chryseobacterium","Chryseobacterium","Chryseobacterium",1,""
"Haemophilus",-0.0884466785399346,0.00798573965198866,-11.0755775162178,1.64814085074678e-28,6.24920072574822e-28,TRUE,"Haemophilus","Haemophilus","Haemophilus",1,""
"Devosia",-0.0274056384199191,0.00269807898133357,-10.1574633691314,3.06958714182966e-24,1.1401323669653e-23,TRUE,"Devosia","Devosia","Devosia",1,""
"Lactococcus",-0.0554727994356756,0.00547016930001056,-10.1409657349305,3.63488138402739e-24,1.32309682378597e-23,TRUE,"Lactococcus","Lactococcus","Lactococcus",1,""
"Aerococcus",-0.0271587905413489,0.00291971373245387,-9.30186759046524,1.38000056203931e-20,4.92470788806186e-20,TRUE,"Aerococcus","Aerococcus","Aerococcus",1,""
"Cellulomonas",-0.0233839213178441,0.00258917423986315,-9.03142050381285,1.69457588940133e-19,5.93101561290466e-19,TRUE,"Cellulomonas","Cellulomonas","Cellulomonas",1,""
"Geobacillus",-0.0250402238303307,0.0029008485429584,-8.6320341994807,6.02703566445499e-18,2.06966130364304e-17,TRUE,"Geobacillus","Geobacillus","Geobacillus",1,""
"Serratia",-0.0408596401319074,0.00482647987632938,-8.46572267550443,2.54569243050777e-17,8.57992633985951e-17,TRUE,"Serratia","Serratia","Serratia",1,""
"Atopobium",-0.0262118285079885,0.00311263240432735,-8.42111277629423,3.72925069286798e-17,1.23404295654904e-16,TRUE,"Atopobium","Atopobium","Atopobium",1,""
"Lactobacillus",-0.143107024468892,0.017255917891749,-8.29321426809286,1.10228520871481e-16,3.58242692832313e-16,TRUE,"Lactobacillus","Lactobacillus","Lactobacillus",1,""
"Staphylococcus",-0.187745147809663,0.0227262946043808,-8.26114204175956,1.44285264510156e-16,4.60700318260499e-16,TRUE,"Staphylococcus","Staphylococcus","Staphylococcus",1,""
"Aeromonas",-0.0396983062882822,0.00487751896611857,-8.13903678571921,3.98434916565067e-16,1.25026128991107e-15,TRUE,"Aeromonas","Aeromonas","Aeromonas",1,""
"Anaerovorax",0.0248061290884554,0.00305484316211895,8.12026273429009,4.65175541559539e-16,1.43494828074299e-15,TRUE,"Anaerovorax","Anaerovorax","Anaerovorax",1,""
"Butyricimonas",0.0250654200331205,0.00309691521421309,8.09367331662305,5.78918242875159e-16,1.75605200338798e-15,TRUE,"Butyricimonas","Butyricimonas","Butyricimonas",1,""
"Flavonifractor",0.0249295252303696,0.00308137750056635,8.09038335153275,5.94772369110315e-16,1.77456674062422e-15,TRUE,"Flavonifractor","Flavonifractor","Flavonifractor",1,""
"Lachnobacterium",0.0243678170171492,0.00304091554655595,8.01331593859863,1.11656319092857e-15,3.27765323788709e-15,TRUE,"Lachnobacterium","Lachnobacterium","Lachnobacterium",1,""
"Gardnerella",-0.0228969747859649,0.00289893552644017,-7.8984077352289,2.82488768048363e-15,8.16078663250828e-15,TRUE,"Gardnerella","Gardnerella","Gardnerella",1,""
"Anaerostipes",0.0238205115557165,0.00302574955529562,7.87259854802794,3.47349864617484e-15,9.87776177505971e-15,TRUE,"Anaerostipes","Anaerostipes","Anaerostipes",1,""
"Salinimicrobium",0.0237688127619353,0.00306103362555275,7.76496297313403,8.16690789290573e-15,2.2867342100136e-14,TRUE,"Salinimicrobium","Salinimicrobium","Salinimicrobium",1,""
"Barnesiella",0.0233908693556004,0.00301500712582733,7.75814728768905,8.61790337565323e-15,2.37645214298316e-14,TRUE,"Barnesiella","Barnesiella","Barnesiella",1,""
"Mogibacterium",0.0231623064518831,0.00299143423873127,7.74287669506207,9.7192289263311e-15,2.64014875312278e-14,TRUE,"Mogibacterium","Mogibacterium","Mogibacterium",1,""
"Butyricicoccus",0.0233290432086832,0.00303919251116912,7.67606629818556,1.64048246614562e-14,4.39070307115445e-14,TRUE,"Butyricicoccus","Butyricicoccus","Butyricicoccus",1,""
"Hydrogenophaga",-0.021791333045674,0.00286795981826443,-7.59820026309199,3.00277403212869e-14,7.92036049054234e-14,TRUE,"Hydrogenophaga","Hydrogenophaga","Hydrogenophaga",1,""
"Holdemania",0.0227945346428574,0.00300356611166513,7.5891569539052,3.21993541785964e-14,8.37183208643505e-14,TRUE,"Holdemania","Holdemania","Holdemania",1,""
"Afifella",0.0231615547074576,0.00305437215305448,7.58308206951638,3.37441242086081e-14,8.64990226192489e-14,TRUE,"Afifella","Afifella","Afifella",1,""
"Scardovia",0.0225446123285707,0.00301488959561992,7.47775718265899,7.56017175472394e-14,1.91104341577744e-13,TRUE,"Scardovia","Scardovia","Scardovia",1,""
"Gluconacetobacter",0.0218104787221259,0.00302000469036231,7.22200160540456,5.12278680787747e-13,1.27718794388178e-12,TRUE,"Gluconacetobacter","Gluconacetobacter","Gluconacetobacter",1,""
"Phascolarctobacterium",0.0219608905568743,0.00304616912380445,7.20934710593043,5.62207836014753e-13,1.38272738046872e-12,TRUE,"Phascolarctobacterium","Phascolarctobacterium","Phascolarctobacterium",1,""
"Alloiococcus",0.0216128979296565,0.00302681719819063,7.14047017526404,9.30122121759661e-13,2.25709634880344e-12,TRUE,"Alloiococcus","Alloiococcus","Alloiococcus",1,""
"Prevotella",-0.127800880740689,0.0179046238999254,-7.13787016443401,9.4788097367363e-13,2.26992548958685e-12,TRUE,"Prevotella","Prevotella","Prevotella",1,""
"Solobacterium",0.0211349020765573,0.00296627611561679,7.12506228442007,1.04033632795777e-12,2.45897677517291e-12,TRUE,"Solobacterium","Solobacterium","Solobacterium",1,""
"Odoribacter",0.0209833035268007,0.00295444718983526,7.1022774070877,1.22717587533194e-12,2.86341037577452e-12,TRUE,"Odoribacter","Odoribacter","Odoribacter",1,""
"Eggerthella",0.0210798541651651,0.00299196616236798,7.0454854838604,1.84815978890309e-12,4.25778584278939e-12,TRUE,"Eggerthella","Eggerthella","Eggerthella",1,""
"Alkalibacterium",0.0207216818945571,0.00299196604012895,6.92577442946647,4.33596895184839e-12,9.86432936545508e-12,TRUE,"Alkalibacterium","Alkalibacterium","Alkalibacterium",1,""
"Catonella",0.0200438835777987,0.0028971236395275,6.9185461415336,4.56302175345409e-12,1.02527155447981e-11,TRUE,"Catonella","Catonella","Catonella",1,""
"Cardiobacterium",0.019546846385002,0.00288770783374577,6.76898339803544,1.2969042218282e-11,2.87849473625283e-11,TRUE,"Cardiobacterium","Cardiobacterium","Cardiobacterium",1,""
"Paludibacter",0.0199861407993008,0.0029733135455829,6.72184096729114,1.79442747301782e-11,3.93476867577401e-11,TRUE,"Paludibacter","Paludibacter","Paludibacter",1,""
"Microbispora",0.0199237923619414,0.00297682478129092,6.69296778472171,2.18689297426731e-11,4.73826811091251e-11,TRUE,"Microbispora","Microbispora","Microbispora",1,""
"Enterococcus",-0.0982430774955415,0.0147390861900289,-6.66547954390848,2.63802553684748e-11,5.64847820830872e-11,TRUE,"Enterococcus","Enterococcus","Enterococcus",1,""
"Ethanoligenens",0.0196811049630968,0.00301181243277247,6.5346383290475,6.37634375879136e-11,1.34941228383724e-10,TRUE,"Ethanoligenens","Ethanoligenens","Ethanoligenens",1,""
"Eikenella",0.0186154354465645,0.00285040782095074,6.53079721074978,6.54205273725658e-11,1.36856735423069e-10,TRUE,"Eikenella","Eikenella","Eikenella",1,""
"Solibacillus",0.0192754111304791,0.00297829272387121,6.47196663242178,9.67354874332461e-11,2.00066576282395e-10,TRUE,"Solibacillus","Solibacillus","Solibacillus",1,""
"Anoxybacillus",-0.0196088414380637,0.00303469795654089,-6.46154632812781,1.03638415671961e-10,2.11934737666257e-10,TRUE,"Anoxybacillus","Anoxybacillus","Anoxybacillus",1,""
"Conchiformibius",0.0190788070188727,0.00296192851339786,6.44134621499893,1.18418397960956e-10,2.394683158766e-10,TRUE,"Conchiformibius","Conchiformibius","Conchiformibius",1,""
"Clostridium",-0.0837988296139573,0.0130402297678206,-6.42617738383323,1.30852700721408e-10,2.61705401442815e-10,TRUE,"Clostridium","Clostridium","Clostridium",1,""
"Myroides",0.0186982914713656,0.00291121902760179,6.42283912480777,1.33755830680447e-10,2.64603925911318e-10,TRUE,"Myroides","Myroides","Myroides",1,""
"Rhizobium",-0.0468768437938585,0.00731618649912586,-6.40727840924494,1.48140162736003e-10,2.89908705569383e-10,TRUE,"Rhizobium","Rhizobium","Rhizobium",1,""
"Lysobacter",-0.0168009515347784,0.00262978747504455,-6.38871075864934,1.67290140690532e-10,3.23902187294435e-10,TRUE,"Lysobacter","Lysobacter","Lysobacter",1,""
"Campylobacter",-0.0590232656700453,0.00933121419464276,-6.32535749784114,2.52646968775438e-10,4.84018403338207e-10,TRUE,"Campylobacter","Campylobacter","Campylobacter",1,""
"Akkermansia",0.0187251871822445,0.00297827372453713,6.28726198937764,3.23113839768702e-10,6.12569987894831e-10,TRUE,"Akkermansia","Akkermansia","Akkermansia",1,""
"Acetivibrio",0.0185808357722827,0.00296005238642658,6.27719828793767,3.44728333143584e-10,6.4680986218693e-10,TRUE,"Acetivibrio","Acetivibrio","Acetivibrio",1,""
"Treponema",-0.0159214753601561,0.00255900655237297,-6.22174075536934,4.91668964671424e-10,9.1309950581836e-10,TRUE,"Treponema","Treponema","Treponema",1,""
"Curtobacterium",-0.0157273814653617,0.0025447942164141,-6.18021738807759,6.40133932570017e-10,1.17681187603781e-09,TRUE,"Curtobacterium","Curtobacterium","Curtobacterium",1,""
"Roseburia",0.0178056227518753,0.00289208707419998,6.15666897124829,7.42909054690561e-10,1.338707405482e-09,TRUE,"Roseburia","Roseburia","Roseburia",1,""
"Thermomonas",0.0175803964392342,0.0028548150886291,6.15815592024085,7.3596878776178e-10,1.338707405482e-09,TRUE,"Thermomonas","Thermomonas","Thermomonas",1,""
"Tannerella",0.017840613080824,0.00290923999959942,6.13239646205902,8.65650468454424e-10,1.54459201234025e-09,TRUE,"Tannerella","Tannerella","Tannerella",1,""
"Mobiluncus",0.0179597289312485,0.00297236137248397,6.04224274259081,1.51986568048462e-09,2.68558790143884e-09,TRUE,"Mobiluncus","Mobiluncus","Mobiluncus",1,""
"Shigella",-0.0794689857084956,0.013313694523908,-5.96896568159871,2.38762321265672e-09,4.17834062214926e-09,TRUE,"Shigella","Shigella","Shigella",1,""
"Coprococcus",0.0173747624720931,0.00292013900233245,5.94997788057865,2.68178728736208e-09,4.64843129809428e-09,TRUE,"Coprococcus","Coprococcus","Coprococcus",1,""
"Neisseria",-0.104566566875903,0.0176976847391621,-5.90848850666401,3.4526089678637e-09,5.92806445425654e-09,TRUE,"Neisseria","Neisseria","Neisseria",1,""
"Bilophila",0.0174253368013194,0.00296066095906889,5.88562386650296,3.96555255296699e-09,6.74514546392516e-09,TRUE,"Bilophila","Bilophila","Bilophila",1,""
"Peptostreptococcus",0.0173497102486523,0.00295949655619696,5.86238568594489,4.56263714038553e-09,7.68888851435339e-09,TRUE,"Peptostreptococcus","Peptostreptococcus","Peptostreptococcus",1,""
"Adhaeribacter",0.0167560425652171,0.00287403647023958,5.83014263692357,5.53800176364491e-09,9.24693872461811e-09,TRUE,"Adhaeribacter","Adhaeribacter","Adhaeribacter",1,""
"Lysinibacillus",0.0164709440397443,0.00289384433596117,5.69171735848521,1.25767920255582e-08,2.08088740786508e-08,TRUE,"Lysinibacillus","Lysinibacillus","Lysinibacillus",1,""
"Pseudoxanthomonas",-0.0152603314086567,0.00268731694352114,-5.67864964549413,1.35762230438834e-08,2.22601134593403e-08,TRUE,"Pseudoxanthomonas","Pseudoxanthomonas","Pseudoxanthomonas",1,""
"Propionimicrobium",0.0161489965811052,0.00285544207066223,5.65551539182859,1.55379303921357e-08,2.52491368872205e-08,TRUE,"Propionimicrobium","Propionimicrobium","Propionimicrobium",1,""
"Sphaerobacter",0.0158525988006445,0.002858789268249,5.54521418444886,2.93594555235827e-08,4.72869106663014e-08,TRUE,"Sphaerobacter","Sphaerobacter","Sphaerobacter",1,""
