"Taxa","varImp"
"Catonella",1543.1285280258
"Neisseria",741.335617996628
"Streptococcus",571.266263448437
"Mycobacterium",376.231670339019
"Paenibacillus",369.367407215246
"Leuconostoc",364.148834072869
"Enterobacter",363.333386597039
"Staphylococcus",310.762244794529
"Solobacterium",272.574659783801
"Pseudomonas",230.638308169148
"Prevotella",223.791313267945
"Mogibacterium",217.740141784647
"Flavobacterium",206.541019213624
"Pseudoalteromonas",200.000787478122
"Streptomyces",197.121092566356
"Bacillus",196.023547862178
"Exiguobacterium",179.574990161118
"Escherichia",174.789243448974
"Citrobacter",173.636134904799
"Klebsiella",170.851550445892
"Haemophilus",140.262440129226
"Bacteroides",132.746334646254
"Shigella",130.909702452975
"Lactobacillus",127.904267624163
"Adhaeribacter",106.260869885923
"Peptostreptococcus",98.7455688899118
"Enterococcus",97.7057435694723
"Propionimicrobium",89.4530577405286
"Eubacterium",78.6047404679398
"Barnesiella",64.3310303564834
"Rickettsia",35.015241073952
"Faecalibacterium",23.5562022848084
"Rhizobium",15.2909590514081
"Lachnoanaerobaculum",13.3396175062977
"Acinetobacter",4.15474592059767
"Odoribacter",4.09233530644721
"Propionibacterium",3.93561719023259
"Clostridium",2.59963692805011
