"Taxa","varImp"
"Rickettsia",2870.33156814734
"Kingella",1552.58025688674
"Salinicoccus",617.197890835342
"Collinsella",586.912189335176
"Ethanoligenens",573.4735144973
"Arcobacter",531.580778523134
"Williamsia",403.970741515236
"Lachnoanaerobaculum",347.148230469999
"Dietzia",337.617683222812
"Holdemania",319.759569186894
"Nesterenkonia",285.731762768844
"Selenomonas",283.74436282236
"Janibacter",189.555818953149
"Brevundimonas",137.982552289149
"Hymenobacter",90.2626992584475
"Planomicrobium",88.0191025885448
"Alcaligenes",83.132691929179
"Marmoricola",77.818459191735
"Dorea",73.6820967499922
"Aggregatibacter",61.2546934905574
"Staphylococcus",60.5280093571732
"Roseomonas",59.6759160671121
"Brevibacterium",51.5099441236888
"Hydrogenophaga",46.8009869984534
"Enterobacter",40.2858350199626
"Paracoccus",34.5808492776127
"Curtobacterium",32.4775567852392
"Rheinheimera",30.5624253022515
"Micrococcus",28.714560156775
"Azospirillum",28.465486521665
"Veillonella",27.8344763596552
"Streptococcus",27.1824575951493
"Aerococcus",27.1817203135822
"Weissella",25.611324914174
"Luteimonas",23.8451592279409
"Erwinia",23.8167710721214
"Citrobacter",23.1435054278795
"Alcanivorax",22.6897657356252
"Butyricicoccus",21.6650090619306
"Pantoea",21.5916933922788
"Catonella",19.413316134409
"Janthinobacterium",19.1664939092207
"Peptoniphilus",16.7696802022123
"Porphyromonas",14.5933846653788
"Scardovia",13.7584874382858
"Morganella",10.2343413118677
"Sphingobium",10.1248069942881
"Gordonia",10.109534764938
"Rubellimicrobium",9.87423855416424
"Haemophilus",8.22733682659898
"Bacillus",8.01886973120831
"Sphaerobacter",7.91654849093998
"Gardnerella",7.59323490237891
"Roseburia",7.59005242291974
"Moraxella",7.28965407573413
"Pseudoalteromonas",7.24574036465958
"Alistipes",7.08154931934976
"Deinococcus",6.83305883255211
"Butyricimonas",6.301779224823
"Exiguobacterium",6.17588878934005
"Peptostreptococcus",6.03650545882906
"Comamonas",5.79914877157848
"Halomonas",5.40473353684997
"Granulicatella",4.32646121151226
"Pseudoxanthomonas",4.28083864484072
"Actinomyces",3.98526172794461
"Agrobacterium",3.58216150346511
"Flavobacterium",3.53259656419473
"Achromobacter",3.43871174498176
"Paludibacter",3.39978362847472
"Faecalibacterium",3.29691221628819
"Corynebacterium",3.03613915080283
"Facklamia",2.99501257884738
"Acidovorax",2.82282078789463
"Methylobacterium",2.77783769188686
"Rhodobacter",2.61380021368911
"Serratia",2.52906145723799
"Shewanella",2.39696071568803
"Lautropia",2.1863187346622
"Rothia",2.12101768514728
"Mobiluncus",1.96039242026194
"Solibacillus",1.73439903635053
"Massilia",1.67509642946517
"Cardiobacterium",1.62695057420006
"Pseudomonas",1.56896879686337
"Agromyces",1.55673374713679
"Conchiformibius",1.4804531272996
"Fusobacterium",1.10469810477833
"Rhizobium",1.09118498243607
"Propionimicrobium",1.07857719485944
"Oscillibacter",1.07218951004438
"Eubacterium",1.05681640848489
"Stenotrophomonas",0.990329632192557
"Arthrobacter",0.854445059519979
"Turicibacter",0.830376826778691
"Paenibacillus",0.800280782690823
"Novosphingobium",0.729427326027502
"Lysobacter",0.722334793450179
"Dialister",0.669412590623095
"Megasphaera",0.623758341454496
"Kocuria",0.575892863265602
"Bifidobacterium",0.559694037296171
"Mycobacterium",0.547416226224425
"Modestobacter",0.504293955819809
"Noviherbaspirillum",0.47952316975479
"Skermanella",0.415944490915384
"Microbispora",0.336973491176049
"Lactococcus",0.325592565104047
"Diaphorobacter",0.284088344734815
"Neisseria",0.270818917411897
