"Taxa","varImp"
"Propionibacterium",882.530710773275
"Alloscardovia",825.655510642774
"Anaerostipes",556.607678508694
"Anaerovorax",314.716563120829
"Bacteroides",296.981013825356
"Arthrobacter",225.753155051683
"Rickettsia",201.847164399507
"Methylobacterium",151.621972754263
"Pseudomonas",136.958951273185
"Paenibacillus",136.915725915855
"Shigella",118.349794626004
"Lachnoanaerobaculum",117.911841582566
"Rhodococcus",98.6909652197808
"Flavonifractor",96.1703397428925
"Streptomyces",82.146685995537
"Acinetobacter",72.493802300099
"Acidovorax",72.0093203092286
"Staphylococcus",70.0731743690065
"Leuconostoc",60.7691319465188
"Diaphorobacter",55.2494720093645
"Odoribacter",55.2137555550844
"Exiguobacterium",52.8008687331887
"Proteus",44.7818069082075
"Mycobacterium",43.9352407541987
"Prevotella",43.3007088947836
"Klebsiella",42.8559201826715
"Escherichia",42.6591719163734
"Bacillus",41.887458201773
"Enterobacter",41.6592702505317
"Aerococcus",41.3689950543777
"Pseudoalteromonas",40.2085030036752
"Conchiformibius",39.8718067563966
"Flavobacterium",35.283507851556
"Fusobacterium",33.0897928728132
"Desulfovibrio",32.1747120653355
"Streptococcus",27.3937411957852
"Citrobacter",22.03623794809
"Neisseria",20.2495373790016
"Haemophilus",19.1483776252251
"Peptoniphilus",18.6855808391238
"Weissella",18.4491806474341
"Geobacillus",14.4222780929662
"Curtobacterium",13.8764149666157
"Finegoldia",12.5954150186687
"Lactobacillus",12.0296104812561
"Alcanivorax",11.5100535713081
"Gordonia",10.9623323593697
"Alcaligenes",10.6314306970789
"Propionimicrobium",10.003865227847
"Rhizobium",9.34190611298373
"Enterococcus",9.17290557311749
"Corynebacterium",8.99730218537921
"Bifidobacterium",8.7160263311795
"Rothia",5.9982186082095
"Campylobacter",5.2454562356924
"Brachybacterium",5.16626747105819
"Brevundimonas",4.94575343680767
"Pantoea",4.63971646117013
"Aggregatibacter",3.85455240683205
"Lachnobacterium",3.73361274164442
"Micrococcus",3.34498270879432
"Parabacteroides",2.32573082499984
"Aeromonas",2.29941642956957
"Butyricimonas",2.18907218167045
"Cellulomonas",2.18123610276891
"Novosphingobium",1.57792208811845
"Mobiluncus",1.51913220360902
"Actinobacillus",1.47234692159616
