"Taxa","varImp"
"Serratia",4629.74030189029
"Arthrobacter",1207.30172601746
"Corynebacterium",176.922303935329
"Scardovia",127.942564584973
"Haemophilus",120.159414565074
"Lachnoanaerobaculum",103.053696980682
"Lysobacter",102.699372145555
"Treponema",96.6190207856382
"Halomonas",84.6195003874876
"Agrobacterium",81.0943092782613
"Actinomyces",62.3658609062395
"Dietzia",57.9307378010723
"Alcaligenes",56.8469196048439
"Williamsia",54.0697028147953
"Rhodococcus",53.8562874744189
"Lactococcus",52.5424208940537
"Comamonas",45.6991190349848
"Lysinibacillus",39.231753764321
"Alishewanella",38.0272967281596
"Aggregatibacter",36.65749990455
"Gordonia",33.3623850089215
"Sphingobium",31.9189923009789
"Capnocytophaga",31.0272758258342
"Pseudomonas",30.7172286887562
"Anaerococcus",30.1829924768472
"Rhodobacter",28.609361458009
"Blautia",28.5671710420807
"Hydrogenophaga",27.9238758649763
"Kocuria",27.7804432073365
"Cardiobacterium",26.8743614012697
"Rheinheimera",19.1274833021525
"Propionibacterium",18.3767885348778
"Escherichia",16.0189835998117
"Pseudoxanthomonas",14.7925456445608
"Methylobacterium",14.5214373245883
"Hymenobacter",14.1369633590484
"Anoxybacillus",13.3473255544855
"Brevundimonas",13.1586618443278
"Akkermansia",12.5967303835198
"Ruminococcus",12.0411874743176
"Tessaracoccus",11.1385814900751
"Clostridium",10.9704856301304
"Salinicoccus",10.572458647922
"Nesterenkonia",10.2533814993933
"Alkanindiges",9.89842503980687
"Aerococcus",9.21771928712849
"Modestobacter",8.95052195478136
"Gardnerella",8.88921967277651
"Enterobacter",8.34469575504885
"Massilia",8.32554808997794
"Tepidimonas",7.84072101393822
"Holdemania",7.74810142567665
"Brachybacterium",7.26036080445584
"Azospirillum",6.94165662828918
"Arcobacter",6.88282376047244
"Leuconostoc",6.73197250726778
"Pseudoalteromonas",6.14646161478523
"Paracoccus",5.99951977558862
"Janthinobacterium",5.84835547613647
"Lautropia",5.82445303812455
"Mycobacterium",5.69945245851544
"Deinococcus",5.28066637939994
"Geobacillus",5.20086378688868
"Pantoea",5.08773184736721
"Acidovorax",4.99290965207481
"Ornithinimicrobium",4.77235978909355
"Desulfovibrio",4.76736658645979
"Dorea",4.60430190135396
"Parvimonas",4.57332503540058
"Roseomonas",4.48262632082507
"Curtobacterium",4.38366791024079
"Afifella",4.13891995857899
"Achromobacter",4.08874949686008
"Alistipes",4.08031067049023
"Stenotrophomonas",4.01220427658422
"Barnesiella",3.65401234150315
"Acetivibrio",3.63000904892212
"Brevibacterium",3.59927625209579
"Moraxella",3.5679626420223
"Erwinia",3.53729212662631
"Paludibacter",3.33177122534671
"Planomicrobium",3.21751423915399
"Shewanella",3.21703308091932
"Weissella",2.75102780572909
"Tannerella",2.55191350144651
"Diaphorobacter",2.39550660641812
"Skermanella",2.11079010602062
"Atopobium",1.99726245549779
"Fusobacterium",1.79273883162838
"Odoribacter",1.78499524319201
"Blastococcus",1.76566680217547
"Micrococcus",1.64269489828959
"Granulicatella",1.63302707601014
"Gemella",1.57772311190459
"Myroides",1.42860225320677
"Bifidobacterium",1.41925202354619
"Anaerovorax",1.37606013880224
"Flavonifractor",1.36104476108679
"Actinobacillus",1.15073168480399
"Janibacter",1.12764804025681
"Acinetobacter",1.12478873115424
"Butyricimonas",1.08410824855355
"Agromyces",1.02356078189077
"Anaerostipes",1.0191918025853
"Catonella",0.939798031848094
"Rhizobium",0.914633626494591
"Marmoricola",0.905101208334352
"Alcanivorax",0.823429403577572
"Microbispora",0.817566593029739
"Streptomyces",0.816919471767527
"Rubellimicrobium",0.752753740730761
