"Taxa","varImp"
"Bacteroides",1798.11245280505
"Rickettsia",708.29410877108
"Mycobacterium",530.25226680661
"Escherichia",483.832883013211
"Streptococcus",235.998065089796
"Acinetobacter",166.110493776617
"Parvimonas",79.985996501719
"Exiguobacterium",77.9275980664183
"Streptomyces",75.8327307016681
"Lachnoanaerobaculum",75.3063260036012
"Enterobacter",74.8508577818675
"Staphylococcus",72.5593953325789
"Neisseria",70.101970441296
"Pseudomonas",68.8696675687164
"Shigella",68.5663801753287
"Propionibacterium",63.5278601325134
"Leuconostoc",57.2088612499693
"Paenibacillus",56.4877768329601
"Prevotella",54.3512488093383
"Enterococcus",45.6627727745474
"Flavobacterium",40.9223453289329
"Bacillus",39.3543383011438
"Brevundimonas",32.0665420466811
"Klebsiella",21.7354757561463
"Campylobacter",21.4123664662142
"Pseudoalteromonas",21.3970053801907
"Catonella",17.5671908158097
"Lactococcus",15.2539977571095
"Proteus",11.0946640286682
"Rhizobium",8.20558486125778
"Roseburia",7.52141325395742
"Treponema",7.01861557971023
"Gordonia",5.71527045639135
"Lactobacillus",4.67007203937945
"Actinobacillus",4.49483539487953
"Alcaligenes",2.73049505432555
"Massilia",2.26196451748261
"Stenotrophomonas",1.61001639533625
"Citrobacter",1.53163475274377
"Aeromonas",1.34071105763433
