"Taxa","varImp"
"Bradyrhizobium",33.9331189269842
"Clostridium",30.8328805312145
"Variovorax",28.9717270483326
"Escherichia",8.84359875428291
"Pseudomonas",8.72013704244601
"Mycobacterium",8.00717251935505
"Streptococcus",7.89728368744398
"Corynebacterium",5.64109932792262
"Leptospira",4.65046061366389
"Ruminococcus",4.58093297867578
"Sphingopyxis",4.06704839141275
"Pelomonas",3.90936992474589
"Geobacillus",3.60484101976519
"Lactobacillus",3.39216698255512
"Acinetobacter",3.30694693041002
"Anaerococcus",3.0156260752037
"Legionella",2.9213918341289
"Bacteroides",2.57413407408404
"Burkholderia",2.48436841782101
"Vibrio",2.44174382769687
"Hymenobacter",1.28483984171991
"Prevotella",0.977493651984676
"Rhizobium",0.906135416626964
"Eikenella",0.797292211432432
"Porphyromonas",0.68780911515305
"Flavobacterium",0.652449579834787
"Chlamydia",0.616663793236687
"Bacillus",0.563701409212355
"Leptotrichia",0.526067696918919
"Psychrobacter",0.420307901032499
"Lactococcus",0.418960702237958
"Acidithiobacillus",0.408456928560028
"Enterobacter",0.349506348009403
"Sodalis",0.311991430089968
"Peptoniphilus",0.243043399811184
"Haemophilus",0.212346627487256
"Veillonella",0.204960229575177
"Staphylococcus",0.183823451467726
"Agromyces",0.12884024251062
"Capnocytophaga",0.126303754925255
"Treponema",0.106947317257017
"Fusobacterium",0.0884448665655234
"Finegoldia",0.0750970057348629
"Campylobacter",0.0732958512157289
"Sphingomonas",0.0566242362081771
"Paracoccus",0.0534398611888188
"Morganella",0.0320609326463857
"Brevundimonas",0.0189497162896975
"Methylobacterium",0.0189056690183139
"Avibacterium",0.0151792073799218
"Shewanella",0.0134769531264738
"Atopobium",0.0134251200360398
"Tannerella",0.00605111375903015
"Devosia",0.00577224188760235
"Varibaculum",0.00520895628866032
"Actinomyces",0.00428372081012423
"Marinobacter",0.00351731466865158
"Ottowia",0.00106379903072154
