"Taxa","varImp"
"Clostridium",95.6918533482563
"Bacillus",87.3521733535315
"Lactobacillus",29.1972857279211
"Gordonia",13.7480320399793
"Streptococcus",13.3128420866043
"Escherichia",12.3207345285969
"Actinomyces",4.9769412892075
"Staphylococcus",4.23367630828055
"Enterobacter",3.74146146855191
"Peptostreptococcus",3.23022936992311
"Hymenobacter",1.99374923934864
"Veillonella",1.68048663455361
"Parabacteroides",1.40818798453316
"Bacteroides",1.36969085029103
"Ruminococcus",1.36823022660723
"Nocardioides",1.3450179727495
"Methylobacterium",1.23174418427893
"Anaerococcus",1.02170481537827
"Tannerella",1.01529676998366
"Pseudomonas",0.876330212805314
"Vibrio",0.845903303479422
"Corynebacterium",0.837769096172387
"Burkholderia",0.472607600352498
"Atopobium",0.458390609722051
"Bifidobacterium",0.451857414898925
"Helicobacter",0.423982139177051
"Bradyrhizobium",0.409019437764488
"Chlamydia",0.25753072588626
"Prevotella",0.255667000153389
"Capnocytophaga",0.220910275110297
"Sphingomonas",0.220237051525265
"Pelomonas",0.193091107154378
"Campylobacter",0.187193966998713
"Geobacillus",0.164830633451434
"Finegoldia",0.145844026569981
"Porphyromonas",0.0921956807763551
"Variovorax",0.0858598762073817
"Lactococcus",0.0783547310261291
"Flavobacterium",0.0628916316035416
"Phycicoccus",0.0348012065743334
"Brevundimonas",0.0303712928721286
"Haemophilus",0.0302299625307377
"Sodalis",0.0246333427291527
"Sphingopyxis",0.0192097695622166
"Stomatobaculum",0.012934860265027
"Shewanella",0.00896030620444101
"Leptotrichia",0.00771567914659573
"Eubacterium",0.00696890838847489
"Treponema",0.00258383937918538
"Blautia",0.00211506312280364
"Rhodospirillum",0.00142280180460251
"Acinetobacter",0.00138433436400719
"Mycobacterium",0.00114363658373162
