"Taxa","varImp"
"Campylobacter",155.467745897052
"Pseudomonas",145.987086898652
"Burkholderia",96.7826085452493
"Shewanella",76.5817688940708
"Bacteroides",52.6599272341423
"Prevotella",43.7831041016103
"Lactobacillus",42.7519673808245
"Variovorax",34.703125113121
"Streptococcus",27.2774142253915
"Bradyrhizobium",18.324011815752
"Actinomyces",17.45569000719
"Acinetobacter",17.3233312787479
"Acidithiobacillus",4.67810060263976
"Leptospira",3.35357780059466
"Escherichia",3.31714214591305
"Veillonella",2.86613274047455
"Mycobacterium",2.84025926733148
"Finegoldia",2.22729151185712
"Psychrobacter",2.18887863837151
"Bacillus",2.18270501626577
"Lactococcus",2.11395066570253
"Staphylococcus",1.90925674610771
"Bifidobacterium",1.886155111568
"Buchnera",1.82170771973062
"Vibrio",1.71726197391865
"Mycoplasma",1.20579938184225
"Flavobacterium",1.06747839627881
"Rhizobium",0.962305899360925
"Selenomonas",0.959284937896358
"Porphyromonas",0.928086114428355
"Blautia",0.822409171989494
"Calothrix",0.808938041633515
"Sphingomonas",0.799087270475729
"Devosia",0.798220487111208
"Brachyspira",0.620104352571633
"Gemella",0.573053079556448
"Corynebacterium",0.514053328615632
"Morganella",0.449207076479059
"Leptotrichia",0.431072927125015
"Clostridium",0.383217775237941
"Prochlorococcus",0.357119372219471
"Methylobacterium",0.326600539781263
"Helicobacter",0.289469295199595
"Pelomonas",0.264965734425091
"Enterobacter",0.259489965591033
"Synechococcus",0.248132656758846
"Paracoccus",0.210385517871358
"Capnocytophaga",0.172355033017146
"Francisella",0.167750111461954
"Parvimonas",0.164398889484186
"Halovivax",0.138384877380085
"Chlamydia",0.130858922164086
"Gordonia",0.123045899720366
"Geobacillus",0.11942419599826
"Agromyces",0.115026854752403
"Avibacterium",0.111057320331864
"Haemophilus",0.107257066153802
"Fusobacterium",0.086690123860454
"Brevundimonas",0.0813663781916279
"Legionella",0.0280039043407804
"Ruminococcus",0.0251529930561732
"Peptoniphilus",0.014697364387491
"Verminephrobacter",0.0144977132141742
