"Taxa","varImp"
"Bacillus",108.171024638531
"Pseudomonas",107.081424784513
"Enterobacter",91.3839873581827
"Mycobacterium",56.3750207706992
"Mycoplasma",31.2091781867625
"Lactobacillus",14.7935074982865
"Vibrio",12.6123625014695
"Chlamydia",10.1272925764989
"Burkholderia",10.0432662532585
"Clostridium",8.04534559685961
"Escherichia",6.96807422102848
"Prevotella",6.8213118731202
"Flavobacterium",6.30172077739678
"Helicobacter",4.38233052697076
"Leptospira",2.93030687025424
"Staphylococcus",1.17074638147708
