"Taxa","varImp"
"Clostridium",69.7587727870087
"Bacillus",69.5744478665863
"Citrobacter",40.5000795704005
"Serratia",26.0687074816659
"Methylobacterium",21.3496073429384
"Streptococcus",13.1365195519802
"Rhodococcus",7.70677730586902
"Lactobacillus",6.49109834330714
"Campylobacter",3.38208268375965
"Comamonas",3.23169413577946
"Nocardioides",2.72081919432307
"Micrococcus",2.6170657106147
"Rothia",2.45703606927734
"Pseudonocardia",2.3468159214719
"Megasphaera",2.04507814817397
"Akkermansia",2.04398124599873
"Rickettsia",1.68865429920317
"Curtobacterium",1.43901099019529
"Escherichia",0.872284447155313
"Staphylococcus",0.658105252740951
"Enterococcus",0.644846558093478
"Parabacteroides",0.635554565727583
"Kingella",0.624343747257222
"Propionibacterium",0.517448984843551
"Neisseria",0.51442249181015
"Actinomyces",0.45069416823552
"Gordonia",0.425789095595899
"Faecalibacterium",0.41272449487599
"Pseudomonas",0.270844664585133
"Modestobacter",0.246524586061963
"Anaerococcus",0.203727171052703
"Aeromonas",0.201903930216973
"Peptostreptococcus",0.194637007551262
"Shigella",0.179710071553361
"Corynebacterium",0.133031055947239
"Bifidobacterium",0.128903091381629
"Klebsiella",0.107733570261379
"Agrobacterium",0.10649788801697
"Gardnerella",0.101492890884011
"Kocuria",0.0927454501018808
"Treponema",0.0922848674792567
"Luteimonas",0.0877794491405649
"Capnocytophaga",0.0684053107010362
"Stenotrophomonas",0.0568367786937627
"Veillonella",0.0557925958396217
"Roseomonas",0.0385684898058205
"Streptomyces",0.0377880174937504
"Geobacillus",0.0368294651302507
"Blautia",0.033207323949605
"Exiguobacterium",0.0322337426981126
"Erwinia",0.0233740268225736
"Achromobacter",0.0192626589137125
"Enterobacter",0.0178666575825564
"Alistipes",0.0076459041712833
"Sphingobium",0.00760444867944818
"Conchiformibius",0.00454370541800033
"Dorea",0.00318496028289108
"Selenomonas",0.00286343122911227
"Bacteroides",0.00166963697083599
"Fusobacterium",0.00160207805855357
"Oscillibacter",0.0015120080173453
"Hydrogenophaga",0.00103709758947014
"Eikenella",0.000833511841687137
"Acinetobacter",0.000736944336985184
"Gemella",0.00047770561661541
"Parvimonas",0.000304905608074288
