"Taxa","varImp"
"Phascolarctobacterium",515.673894829123
"Ethanoligenens",415.618691527297
"Mycobacterium",269.5010225286
"Dietzia",196.344159198403
"Enterobacter",176.340038154245
"Streptomyces",170.323973084962
"Propionimicrobium",157.113776320838
"Roseburia",134.83995812978
"Agrobacterium",128.387753890838
"Bacillus",126.174639583555
"Alkanindiges",108.9687755581
"Clostridium",108.017111563482
"Rickettsia",102.121849396954
"Pseudomonas",97.942197668528
"Campylobacter",97.6172065825918
"Escherichia",70.3726966898752
"Flavobacterium",68.1206582548498
"Azospirillum",64.3643431528522
"Gordonia",63.134506155557
"Lactococcus",63.0855927702058
"Diaphorobacter",62.6990292995398
"Leuconostoc",60.1086118391135
"Hydrogenophaga",55.1668904630809
"Shigella",46.9607691146001
"Proteus",46.561856284205
"Exiguobacterium",46.1283700349952
"Paracoccus",45.6153763926783
"Chryseobacterium",44.3136135601441
"Aggregatibacter",37.5313078219638
"Pseudoalteromonas",36.5667206035433
"Streptococcus",29.9073939191651
"Staphylococcus",29.4749256156502
"Rhizobium",29.1474518262128
"Enterococcus",27.3187461942217
"Leptotrichia",27.3121267141381
"Lysinibacillus",27.2342456521103
"Luteimonas",25.2933252743535
"Devosia",22.3126785667927
"Blautia",21.1763498153809
"Prevotella",18.5647668317902
"Corynebacterium",17.8336958927502
"Alcaligenes",17.3138577160028
"Propionibacterium",16.3582026664127
"Neisseria",16.1555983886125
"Rhodobacter",13.131286259136
"Catonella",12.9295235103848
"Citrobacter",12.7368530899181
"Janthinobacterium",12.5467625006642
"Coprococcus",10.455035431548
"Acinetobacter",9.93177175221359
"Achromobacter",9.45252784182053
"Acetivibrio",9.34445211058854
"Klebsiella",8.66039853305494
"Parabacteroides",8.64578069315298
"Curtobacterium",8.22188567393168
"Haemophilus",7.61403422317457
"Tannerella",6.30427621198102
"Massilia",6.07808881342463
"Fusobacterium",5.78266272480901
"Sutterella",5.60027789089546
"Conchiformibius",5.57691825228565
"Gemella",5.38601604569006
"Halomonas",5.36642536891061
"Paenibacillus",5.27143553638204
"Treponema",5.07717361829288
"Micrococcus",4.98601461208469
"Lactobacillus",4.53751881983738
"Pantoea",3.8590126633692
"Stenotrophomonas",3.71967187895694
"Myroides",3.61001967692078
"Desulfovibrio",3.24610875928599
"Brevundimonas",2.29409788771741
"Modestobacter",1.97225446628918
"Methylobacterium",1.89306961609542
"Bilophila",1.78601412757348
"Anoxybacillus",1.73672528921722
"Serratia",1.68910323009049
"Aeromonas",1.31030766991092
