"Taxa","varImp"
"k__Viruses.f__Polydnaviridae.g__Ichnovirus",2020.79621618776
"k__Viruses.f__Nimaviridae.g__Whispovirus",1334.92548686822
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella",693.903264397956
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter",560.73919503096
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium",536.160615455137
"k__Viruses.f__Hepadnaviridae.g__Orthohepadnavirus",489.907562799393
"k__Viruses.f__Poxviridae.g__Molluscipoxvirus",346.881187605652
"k__Viruses.f__Microviridae.g__Microvirus",340.065853514798
"k__Viruses.f__Partitiviridae.g__Betapartitivirus",326.408744387947
"k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus",306.2401897836
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Tetrasphaera",249.838484249391
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.g__Epulopiscium",244.019886541592
"k__Viruses.f__Polydnaviridae.g__Bracovirus",172.808599883134
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Paenisporosarcina",160.589540541271
"k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Carlavirus",151.439835377886
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia",147.1929455307
"k__Viruses.f__Partitiviridae.g__Alphapartitivirus",132.815213850193
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Conchiformibius",130.239867698334
"k__Viruses.o__Caudovirales.f__Siphoviridae.g__L5likevirus",121.993003033999
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus",121.153943307424
